date_key,full_date,year_num,quarter_num,month_num,month_name,day_of_month,iso_day_of_week,day_name,iso_week_num,iso_year_num,is_weekend,first_day_month,last_day_month
20060203,2006-02-03,2006,1,2,February,3,5,Friday,5,2006,f,2006-02-01,2006-02-28
20060204,2006-02-04,2006,1,2,February,4,6,Saturday,5,2006,t,2006-02-01,2006-02-28
20060205,2006-02-05,2006,1,2,February,5,7,Sunday,5,2006,t,2006-02-01,2006-02-28
20060206,2006-02-06,2006,1,2,February,6,1,Monday,6,2006,f,2006-02-01,2006-02-28
20060207,2006-02-07,2006,1,2,February,7,2,Tuesday,6,2006,f,2006-02-01,2006-02-28
20060208,2006-02-08,2006,1,2,February,8,3,Wednesday,6,2006,f,2006-02-01,2006-02-28
20060209,2006-02-09,2006,1,2,February,9,4,Thursday,6,2006,f,2006-02-01,2006-02-28
20060210,2006-02-10,2006,1,2,February,10,5,Friday,6,2006,f,2006-02-01,2006-02-28
20060211,2006-02-11,2006,1,2,February,11,6,Saturday,6,2006,t,2006-02-01,2006-02-28
20060212,2006-02-12,2006,1,2,February,12,7,Sunday,6,2006,t,2006-02-01,2006-02-28
20060213,2006-02-13,2006,1,2,February,13,1,Monday,7,2006,f,2006-02-01,2006-02-28
20060214,2006-02-14,2006,1,2,February,14,2,Tuesday,7,2006,f,2006-02-01,2006-02-28
20060215,2006-02-15,2006,1,2,February,15,3,Wednesday,7,2006,f,2006-02-01,2006-02-28
20060216,2006-02-16,2006,1,2,February,16,4,Thursday,7,2006,f,2006-02-01,2006-02-28
20060217,2006-02-17,2006,1,2,February,17,5,Friday,7,2006,f,2006-02-01,2006-02-28
20060218,2006-02-18,2006,1,2,February,18,6,Saturday,7,2006,t,2006-02-01,2006-02-28
20060219,2006-02-19,2006,1,2,February,19,7,Sunday,7,2006,t,2006-02-01,2006-02-28
20060220,2006-02-20,2006,1,2,February,20,1,Monday,8,2006,f,2006-02-01,2006-02-28
20060221,2006-02-21,2006,1,2,February,21,2,Tuesday,8,2006,f,2006-02-01,2006-02-28
20060222,2006-02-22,2006,1,2,February,22,3,Wednesday,8,2006,f,2006-02-01,2006-02-28
20060223,2006-02-23,2006,1,2,February,23,4,Thursday,8,2006,f,2006-02-01,2006-02-28
20060224,2006-02-24,2006,1,2,February,24,5,Friday,8,2006,f,2006-02-01,2006-02-28
20060225,2006-02-25,2006,1,2,February,25,6,Saturday,8,2006,t,2006-02-01,2006-02-28
20060226,2006-02-26,2006,1,2,February,26,7,Sunday,8,2006,t,2006-02-01,2006-02-28
20060227,2006-02-27,2006,1,2,February,27,1,Monday,9,2006,f,2006-02-01,2006-02-28
20060228,2006-02-28,2006,1,2,February,28,2,Tuesday,9,2006,f,2006-02-01,2006-02-28
20060301,2006-03-01,2006,1,3,March,1,3,Wednesday,9,2006,f,2006-03-01,2006-03-31
20060302,2006-03-02,2006,1,3,March,2,4,Thursday,9,2006,f,2006-03-01,2006-03-31
20060303,2006-03-03,2006,1,3,March,3,5,Friday,9,2006,f,2006-03-01,2006-03-31
20060304,2006-03-04,2006,1,3,March,4,6,Saturday,9,2006,t,2006-03-01,2006-03-31
20060305,2006-03-05,2006,1,3,March,5,7,Sunday,9,2006,t,2006-03-01,2006-03-31
20060306,2006-03-06,2006,1,3,March,6,1,Monday,10,2006,f,2006-03-01,2006-03-31
20060307,2006-03-07,2006,1,3,March,7,2,Tuesday,10,2006,f,2006-03-01,2006-03-31
20060308,2006-03-08,2006,1,3,March,8,3,Wednesday,10,2006,f,2006-03-01,2006-03-31
20060309,2006-03-09,2006,1,3,March,9,4,Thursday,10,2006,f,2006-03-01,2006-03-31
20060310,2006-03-10,2006,1,3,March,10,5,Friday,10,2006,f,2006-03-01,2006-03-31
20060311,2006-03-11,2006,1,3,March,11,6,Saturday,10,2006,t,2006-03-01,2006-03-31
20060312,2006-03-12,2006,1,3,March,12,7,Sunday,10,2006,t,2006-03-01,2006-03-31
20060313,2006-03-13,2006,1,3,March,13,1,Monday,11,2006,f,2006-03-01,2006-03-31
20060314,2006-03-14,2006,1,3,March,14,2,Tuesday,11,2006,f,2006-03-01,2006-03-31
20060315,2006-03-15,2006,1,3,March,15,3,Wednesday,11,2006,f,2006-03-01,2006-03-31
20060316,2006-03-16,2006,1,3,March,16,4,Thursday,11,2006,f,2006-03-01,2006-03-31
20060317,2006-03-17,2006,1,3,March,17,5,Friday,11,2006,f,2006-03-01,2006-03-31
20060318,2006-03-18,2006,1,3,March,18,6,Saturday,11,2006,t,2006-03-01,2006-03-31
20060319,2006-03-19,2006,1,3,March,19,7,Sunday,11,2006,t,2006-03-01,2006-03-31
20060320,2006-03-20,2006,1,3,March,20,1,Monday,12,2006,f,2006-03-01,2006-03-31
20060321,2006-03-21,2006,1,3,March,21,2,Tuesday,12,2006,f,2006-03-01,2006-03-31
20060322,2006-03-22,2006,1,3,March,22,3,Wednesday,12,2006,f,2006-03-01,2006-03-31
20060323,2006-03-23,2006,1,3,March,23,4,Thursday,12,2006,f,2006-03-01,2006-03-31
20060324,2006-03-24,2006,1,3,March,24,5,Friday,12,2006,f,2006-03-01,2006-03-31
20060325,2006-03-25,2006,1,3,March,25,6,Saturday,12,2006,t,2006-03-01,2006-03-31
20060326,2006-03-26,2006,1,3,March,26,7,Sunday,12,2006,t,2006-03-01,2006-03-31
20060327,2006-03-27,2006,1,3,March,27,1,Monday,13,2006,f,2006-03-01,2006-03-31
20060328,2006-03-28,2006,1,3,March,28,2,Tuesday,13,2006,f,2006-03-01,2006-03-31
20060329,2006-03-29,2006,1,3,March,29,3,Wednesday,13,2006,f,2006-03-01,2006-03-31
20060330,2006-03-30,2006,1,3,March,30,4,Thursday,13,2006,f,2006-03-01,2006-03-31
20060331,2006-03-31,2006,1,3,March,31,5,Friday,13,2006,f,2006-03-01,2006-03-31
20060401,2006-04-01,2006,2,4,April,1,6,Saturday,13,2006,t,2006-04-01,2006-04-30
20060402,2006-04-02,2006,2,4,April,2,7,Sunday,13,2006,t,2006-04-01,2006-04-30
20060403,2006-04-03,2006,2,4,April,3,1,Monday,14,2006,f,2006-04-01,2006-04-30
20060404,2006-04-04,2006,2,4,April,4,2,Tuesday,14,2006,f,2006-04-01,2006-04-30
20060405,2006-04-05,2006,2,4,April,5,3,Wednesday,14,2006,f,2006-04-01,2006-04-30
20060406,2006-04-06,2006,2,4,April,6,4,Thursday,14,2006,f,2006-04-01,2006-04-30
20060407,2006-04-07,2006,2,4,April,7,5,Friday,14,2006,f,2006-04-01,2006-04-30
20060408,2006-04-08,2006,2,4,April,8,6,Saturday,14,2006,t,2006-04-01,2006-04-30
20060409,2006-04-09,2006,2,4,April,9,7,Sunday,14,2006,t,2006-04-01,2006-04-30
20060410,2006-04-10,2006,2,4,April,10,1,Monday,15,2006,f,2006-04-01,2006-04-30
20060411,2006-04-11,2006,2,4,April,11,2,Tuesday,15,2006,f,2006-04-01,2006-04-30
20060412,2006-04-12,2006,2,4,April,12,3,Wednesday,15,2006,f,2006-04-01,2006-04-30
20060413,2006-04-13,2006,2,4,April,13,4,Thursday,15,2006,f,2006-04-01,2006-04-30
20060414,2006-04-14,2006,2,4,April,14,5,Friday,15,2006,f,2006-04-01,2006-04-30
20060415,2006-04-15,2006,2,4,April,15,6,Saturday,15,2006,t,2006-04-01,2006-04-30
20060416,2006-04-16,2006,2,4,April,16,7,Sunday,15,2006,t,2006-04-01,2006-04-30
20060417,2006-04-17,2006,2,4,April,17,1,Monday,16,2006,f,2006-04-01,2006-04-30
20060418,2006-04-18,2006,2,4,April,18,2,Tuesday,16,2006,f,2006-04-01,2006-04-30
20060419,2006-04-19,2006,2,4,April,19,3,Wednesday,16,2006,f,2006-04-01,2006-04-30
20060420,2006-04-20,2006,2,4,April,20,4,Thursday,16,2006,f,2006-04-01,2006-04-30
20060421,2006-04-21,2006,2,4,April,21,5,Friday,16,2006,f,2006-04-01,2006-04-30
20060422,2006-04-22,2006,2,4,April,22,6,Saturday,16,2006,t,2006-04-01,2006-04-30
20060423,2006-04-23,2006,2,4,April,23,7,Sunday,16,2006,t,2006-04-01,2006-04-30
20060424,2006-04-24,2006,2,4,April,24,1,Monday,17,2006,f,2006-04-01,2006-04-30
20060425,2006-04-25,2006,2,4,April,25,2,Tuesday,17,2006,f,2006-04-01,2006-04-30
20060426,2006-04-26,2006,2,4,April,26,3,Wednesday,17,2006,f,2006-04-01,2006-04-30
20060427,2006-04-27,2006,2,4,April,27,4,Thursday,17,2006,f,2006-04-01,2006-04-30
20060428,2006-04-28,2006,2,4,April,28,5,Friday,17,2006,f,2006-04-01,2006-04-30
20060429,2006-04-29,2006,2,4,April,29,6,Saturday,17,2006,t,2006-04-01,2006-04-30
20060430,2006-04-30,2006,2,4,April,30,7,Sunday,17,2006,t,2006-04-01,2006-04-30
20060501,2006-05-01,2006,2,5,May,1,1,Monday,18,2006,f,2006-05-01,2006-05-31
20060502,2006-05-02,2006,2,5,May,2,2,Tuesday,18,2006,f,2006-05-01,2006-05-31
20060503,2006-05-03,2006,2,5,May,3,3,Wednesday,18,2006,f,2006-05-01,2006-05-31
20060504,2006-05-04,2006,2,5,May,4,4,Thursday,18,2006,f,2006-05-01,2006-05-31
20060505,2006-05-05,2006,2,5,May,5,5,Friday,18,2006,f,2006-05-01,2006-05-31
20060506,2006-05-06,2006,2,5,May,6,6,Saturday,18,2006,t,2006-05-01,2006-05-31
20060507,2006-05-07,2006,2,5,May,7,7,Sunday,18,2006,t,2006-05-01,2006-05-31
20060508,2006-05-08,2006,2,5,May,8,1,Monday,19,2006,f,2006-05-01,2006-05-31
20060509,2006-05-09,2006,2,5,May,9,2,Tuesday,19,2006,f,2006-05-01,2006-05-31
20060510,2006-05-10,2006,2,5,May,10,3,Wednesday,19,2006,f,2006-05-01,2006-05-31
20060511,2006-05-11,2006,2,5,May,11,4,Thursday,19,2006,f,2006-05-01,2006-05-31
20060512,2006-05-12,2006,2,5,May,12,5,Friday,19,2006,f,2006-05-01,2006-05-31
20060513,2006-05-13,2006,2,5,May,13,6,Saturday,19,2006,t,2006-05-01,2006-05-31
20060514,2006-05-14,2006,2,5,May,14,7,Sunday,19,2006,t,2006-05-01,2006-05-31
20060515,2006-05-15,2006,2,5,May,15,1,Monday,20,2006,f,2006-05-01,2006-05-31
20060516,2006-05-16,2006,2,5,May,16,2,Tuesday,20,2006,f,2006-05-01,2006-05-31
20060517,2006-05-17,2006,2,5,May,17,3,Wednesday,20,2006,f,2006-05-01,2006-05-31
20060518,2006-05-18,2006,2,5,May,18,4,Thursday,20,2006,f,2006-05-01,2006-05-31
20060519,2006-05-19,2006,2,5,May,19,5,Friday,20,2006,f,2006-05-01,2006-05-31
20060520,2006-05-20,2006,2,5,May,20,6,Saturday,20,2006,t,2006-05-01,2006-05-31
20060521,2006-05-21,2006,2,5,May,21,7,Sunday,20,2006,t,2006-05-01,2006-05-31
20060522,2006-05-22,2006,2,5,May,22,1,Monday,21,2006,f,2006-05-01,2006-05-31
20060523,2006-05-23,2006,2,5,May,23,2,Tuesday,21,2006,f,2006-05-01,2006-05-31
20060524,2006-05-24,2006,2,5,May,24,3,Wednesday,21,2006,f,2006-05-01,2006-05-31
20060525,2006-05-25,2006,2,5,May,25,4,Thursday,21,2006,f,2006-05-01,2006-05-31
20060526,2006-05-26,2006,2,5,May,26,5,Friday,21,2006,f,2006-05-01,2006-05-31
20060527,2006-05-27,2006,2,5,May,27,6,Saturday,21,2006,t,2006-05-01,2006-05-31
20060528,2006-05-28,2006,2,5,May,28,7,Sunday,21,2006,t,2006-05-01,2006-05-31
20060529,2006-05-29,2006,2,5,May,29,1,Monday,22,2006,f,2006-05-01,2006-05-31
20060530,2006-05-30,2006,2,5,May,30,2,Tuesday,22,2006,f,2006-05-01,2006-05-31
20060531,2006-05-31,2006,2,5,May,31,3,Wednesday,22,2006,f,2006-05-01,2006-05-31
20060601,2006-06-01,2006,2,6,June,1,4,Thursday,22,2006,f,2006-06-01,2006-06-30
20060602,2006-06-02,2006,2,6,June,2,5,Friday,22,2006,f,2006-06-01,2006-06-30
20060603,2006-06-03,2006,2,6,June,3,6,Saturday,22,2006,t,2006-06-01,2006-06-30
20060604,2006-06-04,2006,2,6,June,4,7,Sunday,22,2006,t,2006-06-01,2006-06-30
20060605,2006-06-05,2006,2,6,June,5,1,Monday,23,2006,f,2006-06-01,2006-06-30
20060606,2006-06-06,2006,2,6,June,6,2,Tuesday,23,2006,f,2006-06-01,2006-06-30
20060607,2006-06-07,2006,2,6,June,7,3,Wednesday,23,2006,f,2006-06-01,2006-06-30
20060608,2006-06-08,2006,2,6,June,8,4,Thursday,23,2006,f,2006-06-01,2006-06-30
20060609,2006-06-09,2006,2,6,June,9,5,Friday,23,2006,f,2006-06-01,2006-06-30
20060610,2006-06-10,2006,2,6,June,10,6,Saturday,23,2006,t,2006-06-01,2006-06-30
20060611,2006-06-11,2006,2,6,June,11,7,Sunday,23,2006,t,2006-06-01,2006-06-30
20060612,2006-06-12,2006,2,6,June,12,1,Monday,24,2006,f,2006-06-01,2006-06-30
20060613,2006-06-13,2006,2,6,June,13,2,Tuesday,24,2006,f,2006-06-01,2006-06-30
20060614,2006-06-14,2006,2,6,June,14,3,Wednesday,24,2006,f,2006-06-01,2006-06-30
20060615,2006-06-15,2006,2,6,June,15,4,Thursday,24,2006,f,2006-06-01,2006-06-30
20060616,2006-06-16,2006,2,6,June,16,5,Friday,24,2006,f,2006-06-01,2006-06-30
20060617,2006-06-17,2006,2,6,June,17,6,Saturday,24,2006,t,2006-06-01,2006-06-30
20060618,2006-06-18,2006,2,6,June,18,7,Sunday,24,2006,t,2006-06-01,2006-06-30
20060619,2006-06-19,2006,2,6,June,19,1,Monday,25,2006,f,2006-06-01,2006-06-30
20060620,2006-06-20,2006,2,6,June,20,2,Tuesday,25,2006,f,2006-06-01,2006-06-30
20060621,2006-06-21,2006,2,6,June,21,3,Wednesday,25,2006,f,2006-06-01,2006-06-30
20060622,2006-06-22,2006,2,6,June,22,4,Thursday,25,2006,f,2006-06-01,2006-06-30
20060623,2006-06-23,2006,2,6,June,23,5,Friday,25,2006,f,2006-06-01,2006-06-30
20060624,2006-06-24,2006,2,6,June,24,6,Saturday,25,2006,t,2006-06-01,2006-06-30
20060625,2006-06-25,2006,2,6,June,25,7,Sunday,25,2006,t,2006-06-01,2006-06-30
20060626,2006-06-26,2006,2,6,June,26,1,Monday,26,2006,f,2006-06-01,2006-06-30
20060627,2006-06-27,2006,2,6,June,27,2,Tuesday,26,2006,f,2006-06-01,2006-06-30
20060628,2006-06-28,2006,2,6,June,28,3,Wednesday,26,2006,f,2006-06-01,2006-06-30
20060629,2006-06-29,2006,2,6,June,29,4,Thursday,26,2006,f,2006-06-01,2006-06-30
20060630,2006-06-30,2006,2,6,June,30,5,Friday,26,2006,f,2006-06-01,2006-06-30
20060701,2006-07-01,2006,3,7,July,1,6,Saturday,26,2006,t,2006-07-01,2006-07-31
20060702,2006-07-02,2006,3,7,July,2,7,Sunday,26,2006,t,2006-07-01,2006-07-31
20060703,2006-07-03,2006,3,7,July,3,1,Monday,27,2006,f,2006-07-01,2006-07-31
20060704,2006-07-04,2006,3,7,July,4,2,Tuesday,27,2006,f,2006-07-01,2006-07-31
20060705,2006-07-05,2006,3,7,July,5,3,Wednesday,27,2006,f,2006-07-01,2006-07-31
20060706,2006-07-06,2006,3,7,July,6,4,Thursday,27,2006,f,2006-07-01,2006-07-31
20060707,2006-07-07,2006,3,7,July,7,5,Friday,27,2006,f,2006-07-01,2006-07-31
20060708,2006-07-08,2006,3,7,July,8,6,Saturday,27,2006,t,2006-07-01,2006-07-31
20060709,2006-07-09,2006,3,7,July,9,7,Sunday,27,2006,t,2006-07-01,2006-07-31
20060710,2006-07-10,2006,3,7,July,10,1,Monday,28,2006,f,2006-07-01,2006-07-31
20060711,2006-07-11,2006,3,7,July,11,2,Tuesday,28,2006,f,2006-07-01,2006-07-31
20060712,2006-07-12,2006,3,7,July,12,3,Wednesday,28,2006,f,2006-07-01,2006-07-31
20060713,2006-07-13,2006,3,7,July,13,4,Thursday,28,2006,f,2006-07-01,2006-07-31
20060714,2006-07-14,2006,3,7,July,14,5,Friday,28,2006,f,2006-07-01,2006-07-31
20060715,2006-07-15,2006,3,7,July,15,6,Saturday,28,2006,t,2006-07-01,2006-07-31
20060716,2006-07-16,2006,3,7,July,16,7,Sunday,28,2006,t,2006-07-01,2006-07-31
20060717,2006-07-17,2006,3,7,July,17,1,Monday,29,2006,f,2006-07-01,2006-07-31
20060718,2006-07-18,2006,3,7,July,18,2,Tuesday,29,2006,f,2006-07-01,2006-07-31
20060719,2006-07-19,2006,3,7,July,19,3,Wednesday,29,2006,f,2006-07-01,2006-07-31
20060720,2006-07-20,2006,3,7,July,20,4,Thursday,29,2006,f,2006-07-01,2006-07-31
20060721,2006-07-21,2006,3,7,July,21,5,Friday,29,2006,f,2006-07-01,2006-07-31
20060722,2006-07-22,2006,3,7,July,22,6,Saturday,29,2006,t,2006-07-01,2006-07-31
20060723,2006-07-23,2006,3,7,July,23,7,Sunday,29,2006,t,2006-07-01,2006-07-31
20060724,2006-07-24,2006,3,7,July,24,1,Monday,30,2006,f,2006-07-01,2006-07-31
20060725,2006-07-25,2006,3,7,July,25,2,Tuesday,30,2006,f,2006-07-01,2006-07-31
20060726,2006-07-26,2006,3,7,July,26,3,Wednesday,30,2006,f,2006-07-01,2006-07-31
20060727,2006-07-27,2006,3,7,July,27,4,Thursday,30,2006,f,2006-07-01,2006-07-31
20060728,2006-07-28,2006,3,7,July,28,5,Friday,30,2006,f,2006-07-01,2006-07-31
20060729,2006-07-29,2006,3,7,July,29,6,Saturday,30,2006,t,2006-07-01,2006-07-31
20060730,2006-07-30,2006,3,7,July,30,7,Sunday,30,2006,t,2006-07-01,2006-07-31
20060731,2006-07-31,2006,3,7,July,31,1,Monday,31,2006,f,2006-07-01,2006-07-31
20060801,2006-08-01,2006,3,8,August,1,2,Tuesday,31,2006,f,2006-08-01,2006-08-31
20060802,2006-08-02,2006,3,8,August,2,3,Wednesday,31,2006,f,2006-08-01,2006-08-31
20060803,2006-08-03,2006,3,8,August,3,4,Thursday,31,2006,f,2006-08-01,2006-08-31
20060804,2006-08-04,2006,3,8,August,4,5,Friday,31,2006,f,2006-08-01,2006-08-31
20060805,2006-08-05,2006,3,8,August,5,6,Saturday,31,2006,t,2006-08-01,2006-08-31
20060806,2006-08-06,2006,3,8,August,6,7,Sunday,31,2006,t,2006-08-01,2006-08-31
20060807,2006-08-07,2006,3,8,August,7,1,Monday,32,2006,f,2006-08-01,2006-08-31
20060808,2006-08-08,2006,3,8,August,8,2,Tuesday,32,2006,f,2006-08-01,2006-08-31
20060809,2006-08-09,2006,3,8,August,9,3,Wednesday,32,2006,f,2006-08-01,2006-08-31
20060810,2006-08-10,2006,3,8,August,10,4,Thursday,32,2006,f,2006-08-01,2006-08-31
20060811,2006-08-11,2006,3,8,August,11,5,Friday,32,2006,f,2006-08-01,2006-08-31
20060812,2006-08-12,2006,3,8,August,12,6,Saturday,32,2006,t,2006-08-01,2006-08-31
20060813,2006-08-13,2006,3,8,August,13,7,Sunday,32,2006,t,2006-08-01,2006-08-31
20060814,2006-08-14,2006,3,8,August,14,1,Monday,33,2006,f,2006-08-01,2006-08-31
20060815,2006-08-15,2006,3,8,August,15,2,Tuesday,33,2006,f,2006-08-01,2006-08-31
20060816,2006-08-16,2006,3,8,August,16,3,Wednesday,33,2006,f,2006-08-01,2006-08-31
20060817,2006-08-17,2006,3,8,August,17,4,Thursday,33,2006,f,2006-08-01,2006-08-31
20060818,2006-08-18,2006,3,8,August,18,5,Friday,33,2006,f,2006-08-01,2006-08-31
20060819,2006-08-19,2006,3,8,August,19,6,Saturday,33,2006,t,2006-08-01,2006-08-31
20060820,2006-08-20,2006,3,8,August,20,7,Sunday,33,2006,t,2006-08-01,2006-08-31
20060821,2006-08-21,2006,3,8,August,21,1,Monday,34,2006,f,2006-08-01,2006-08-31
20060822,2006-08-22,2006,3,8,August,22,2,Tuesday,34,2006,f,2006-08-01,2006-08-31
20060823,2006-08-23,2006,3,8,August,23,3,Wednesday,34,2006,f,2006-08-01,2006-08-31
20060824,2006-08-24,2006,3,8,August,24,4,Thursday,34,2006,f,2006-08-01,2006-08-31
20060825,2006-08-25,2006,3,8,August,25,5,Friday,34,2006,f,2006-08-01,2006-08-31
20060826,2006-08-26,2006,3,8,August,26,6,Saturday,34,2006,t,2006-08-01,2006-08-31
20060827,2006-08-27,2006,3,8,August,27,7,Sunday,34,2006,t,2006-08-01,2006-08-31
20060828,2006-08-28,2006,3,8,August,28,1,Monday,35,2006,f,2006-08-01,2006-08-31
20060829,2006-08-29,2006,3,8,August,29,2,Tuesday,35,2006,f,2006-08-01,2006-08-31
20060830,2006-08-30,2006,3,8,August,30,3,Wednesday,35,2006,f,2006-08-01,2006-08-31
20060831,2006-08-31,2006,3,8,August,31,4,Thursday,35,2006,f,2006-08-01,2006-08-31
20060901,2006-09-01,2006,3,9,September,1,5,Friday,35,2006,f,2006-09-01,2006-09-30
20060902,2006-09-02,2006,3,9,September,2,6,Saturday,35,2006,t,2006-09-01,2006-09-30
20060903,2006-09-03,2006,3,9,September,3,7,Sunday,35,2006,t,2006-09-01,2006-09-30
20060904,2006-09-04,2006,3,9,September,4,1,Monday,36,2006,f,2006-09-01,2006-09-30
20060905,2006-09-05,2006,3,9,September,5,2,Tuesday,36,2006,f,2006-09-01,2006-09-30
20060906,2006-09-06,2006,3,9,September,6,3,Wednesday,36,2006,f,2006-09-01,2006-09-30
20060907,2006-09-07,2006,3,9,September,7,4,Thursday,36,2006,f,2006-09-01,2006-09-30
20060908,2006-09-08,2006,3,9,September,8,5,Friday,36,2006,f,2006-09-01,2006-09-30
20060909,2006-09-09,2006,3,9,September,9,6,Saturday,36,2006,t,2006-09-01,2006-09-30
20060910,2006-09-10,2006,3,9,September,10,7,Sunday,36,2006,t,2006-09-01,2006-09-30
20060911,2006-09-11,2006,3,9,September,11,1,Monday,37,2006,f,2006-09-01,2006-09-30
20060912,2006-09-12,2006,3,9,September,12,2,Tuesday,37,2006,f,2006-09-01,2006-09-30
20060913,2006-09-13,2006,3,9,September,13,3,Wednesday,37,2006,f,2006-09-01,2006-09-30
20060914,2006-09-14,2006,3,9,September,14,4,Thursday,37,2006,f,2006-09-01,2006-09-30
20060915,2006-09-15,2006,3,9,September,15,5,Friday,37,2006,f,2006-09-01,2006-09-30
20060916,2006-09-16,2006,3,9,September,16,6,Saturday,37,2006,t,2006-09-01,2006-09-30
20060917,2006-09-17,2006,3,9,September,17,7,Sunday,37,2006,t,2006-09-01,2006-09-30
20060918,2006-09-18,2006,3,9,September,18,1,Monday,38,2006,f,2006-09-01,2006-09-30
20060919,2006-09-19,2006,3,9,September,19,2,Tuesday,38,2006,f,2006-09-01,2006-09-30
20060920,2006-09-20,2006,3,9,September,20,3,Wednesday,38,2006,f,2006-09-01,2006-09-30
20060921,2006-09-21,2006,3,9,September,21,4,Thursday,38,2006,f,2006-09-01,2006-09-30
20060922,2006-09-22,2006,3,9,September,22,5,Friday,38,2006,f,2006-09-01,2006-09-30
20060923,2006-09-23,2006,3,9,September,23,6,Saturday,38,2006,t,2006-09-01,2006-09-30
20060924,2006-09-24,2006,3,9,September,24,7,Sunday,38,2006,t,2006-09-01,2006-09-30
20060925,2006-09-25,2006,3,9,September,25,1,Monday,39,2006,f,2006-09-01,2006-09-30
20060926,2006-09-26,2006,3,9,September,26,2,Tuesday,39,2006,f,2006-09-01,2006-09-30
20060927,2006-09-27,2006,3,9,September,27,3,Wednesday,39,2006,f,2006-09-01,2006-09-30
20060928,2006-09-28,2006,3,9,September,28,4,Thursday,39,2006,f,2006-09-01,2006-09-30
20060929,2006-09-29,2006,3,9,September,29,5,Friday,39,2006,f,2006-09-01,2006-09-30
20060930,2006-09-30,2006,3,9,September,30,6,Saturday,39,2006,t,2006-09-01,2006-09-30
20061001,2006-10-01,2006,4,10,October,1,7,Sunday,39,2006,t,2006-10-01,2006-10-31
20061002,2006-10-02,2006,4,10,October,2,1,Monday,40,2006,f,2006-10-01,2006-10-31
